('people', 2, 1.5527864045000421, 0.4331014199900975)
('always', 2, 1.5527864045000421, 0.4331014199900975)
('ask', 1, 1, 0.27891886400792204)
('me', 1, 1, 0.27891886400792204)
('if', 1, 1, 0.27891886400792204)
('i', 1, 1, 0.27891886400792204)
('know', 1, 1, 0.27891886400792204)
('tyler', 2, 1.5527864045000421, 0.4331014199900975)
('durden', 2, 1.5527864045000421, 0.4331014199900975)
('three', 1, 1, 0.4011303092945406)
('minutes', 2, 1.5527864045000421, 0.6228696907054595)
('this', 1, 1, 0.4199693325336844)
('is', 1, 1, 0.4199693325336844)
('it', 1, 1, 0.4199693325336844)
('ground', 1, 1, 0.4199693325336844)
('zero', 2, 1.5527864045000421, 0.6521226698652625)
('do', 1, 1, 0.4157489689097202)
('you', 1, 1, 0.4157489689097202)
('have', 1, 1, 0.4157489689097202)
('a', 1, 1, 0.4157489689097202)
('speech', 1, 1, 0.4157489689097202)
('for', 1, 1, 0.4157489689097202)
('the', 1, 1, 0.4157489689097202)
('occasion', 3, 1.8947905504078837, 0.7877572176319588)
('with', 1, 1, 0.250507601265504)
('a', 1, 1, 0.250507601265504)
('gun', 1, 1, 0.250507601265504)
('barrel', 2, 1.5527864045000421, 0.3889847974689921)
('between', 2, 1.5527864045000421, 0.3889847974689921)
('your', 1, 1, 0.250507601265504)
('teeth', 1, 1, 0.250507601265504)
('you', 1, 1, 0.250507601265504)
('speak', 1, 1, 0.250507601265504)
('only', 2, 1.5527864045000421, 0.3889847974689921)
('in', 1, 1, 0.250507601265504)
('vowels', 2, 1.5527864045000421, 0.3889847974689921)
('i', 1, 1, 0.3550592649734056)
('cant', 1, 1, 0.3550592649734056)
('think', 1, 1, 0.3550592649734056)
('of', 1, 1, 0.3550592649734056)
('anything', 3, 1.8947905504078837, 0.6727629401063777)
('for', 1, 1, 0.3140508136003745)
('a', 1, 1, 0.3140508136003745)
('second', 2, 1.5527864045000421, 0.4876538336808385)
('i', 1, 1, 0.3140508136003745)
('forget', 2, 1.5527864045000421, 0.4876538336808385)
('about', 2, 1.5527864045000421, 0.4876538336808385)
('controlled', 2, 1.5527864045000421, 0.4876538336808385)
('demolition', 4, 2.1085167819936483, 0.6621814108751488)
('thing', 1, 1, 0.3140508136003745)
('and', 1, 1, 0.2525492743351474)
('i', 1, 1, 0.2525492743351474)
('wonder', 2, 1.5527864045000421, 0.39215507965396834)
('how', 1, 1, 0.2525492743351474)
('clean', 1, 1, 0.2525492743351474)
('that', 1, 1, 0.2525492743351474)
('gun', 1, 1, 0.2525492743351474)
('is', 1, 1, 0.2525492743351474)
('its', 1, 1, 0.37796620718592516)
('getting', 2, 1.5527864045000421, 0.5869007878787507)
('exciting', 3, 1.8947905504078837, 0.7161667977493993)
('now', 1, 1, 0.37796620718592516)
('that', 1, 1, 0.2738733227827668)
('old', 1, 1, 0.2738733227827668)
('thing', 1, 1, 0.2738733227827668)
('how', 1, 1, 0.2738733227827668)
('you', 1, 1, 0.2738733227827668)
('always', 2, 1.5527864045000421, 0.425266772172332)
('hurt', 1, 1, 0.2738733227827668)
('the', 1, 1, 0.2738733227827668)
('one', 1, 1, 0.2738733227827668)
('you', 1, 1, 0.2738733227827668)
('love', 1, 1, 0.2738733227827668)
('well', 1, 1, 0.4186)
('it', 1, 1, 0.4186)
('works', 1, 1, 0.4186)
('both', 1, 1, 0.4186)
('ways', 1, 1, 0.4186)
('we', 1, 1, 0.39538142956054717)
('have', 1, 1, 0.39538142956054717)
('seats', 1, 1, 0.39538142956054717)
('for', 1, 1, 0.39538142956054717)
('this', 1, 1, 0.39538142956054717)
('theater', 3, 1.8947905504078837, 0.7491649965380851)
('of', 1, 1, 0.39538142956054717)
('mass', 1, 1, 0.39538142956054717)
('destruction', 3, 1.8947905504078837, 0.7491649965380851)
('the', 1, 1, 0.394836647484218)
('committee', 3, 1.8947905504078837, 0.7481327486078249)
('of', 1, 1, 0.394836647484218)
('project', 2, 1.5527864045000421, 0.6130969782118694)
('mayhem', 2, 1.5527864045000421, 0.6130969782118694)
('wrapped', 1, 1, 0.36789389820560436)
('the', 1, 1, 0.36789389820560436)
('foundations', 3, 1.8947905504078837, 0.6970818818726989)
('of', 1, 1, 0.36789389820560436)
('buildings', 2, 1.5527864045000421, 0.5712606434321849)
('with', 1, 1, 0.36789389820560436)
('explosives', 3, 1.8947905504078837, 0.6970818818726989)
('in', 1, 1, 0.29429203892271744)
('two', 1, 1, 0.29429203892271744)
('minutes', 2, 1.5527864045000421, 0.4569726769917929)
('primary', 3, 1.8947905504078837, 0.5576217744110341)
('charges', 2, 1.5527864045000421, 0.4569726769917929)
('will', 1, 1, 0.29429203892271744)
('blow', 1, 1, 0.29429203892271744)
('base', 1, 1, 0.29429203892271744)
('charges', 2, 1.5527864045000421, 0.4569726769917929)
('and', 1, 1, 0.33328145407061327)
('a', 1, 1, 0.33328145407061327)
('few', 1, 1, 0.33328145407061327)
('blocks', 1, 1, 0.33328145407061327)
('will', 1, 1, 0.33328145407061327)
('be', 1, 1, 0.33328145407061327)
('reduced', 2, 1.5527864045000421, 0.5175149107528536)
('to', 1, 1, 0.33328145407061327)
('rubble', 2, 1.5527864045000421, 0.5175149107528536)
('i', 1, 1, 0.3733233999995729)
('know', 1, 1, 0.3733233999995729)
('this', 1, 1, 0.3733233999995729)
('because', 2, 1.5527864045000421, 0.5796915000010678)
('tyler', 2, 1.5527864045000421, 0.5796915000010678)
('knows', 1, 1, 0.3733233999995729)
('this', 1, 1, 0.3733233999995729)
('two', 1, 1, 0.3475123158963882)
